country,iso_code,year,population,gdp_per_capita,inflation_rate,interest_rate,construction_gdp,construction_employment,housing_price_index,household_debt_to_gdp,real_estate_investment,urbanization_rate,housing_loans,new_housing_starts,auto_production,auto_export,auto_gdp,auto_employment,vehicle_density,electric_vehicle_share,auto_rnd_expenditure,road_quality_index,manufacturing_index,import_dependency,policy_orientation_index
Denmark,DNK,2022,58.2,40011.4,5.0,15.0,5.8,5.9,91.2,31.8,5.4,95.1,49.2,0.46,3527600,52.8,3.1,2.5,469,5.0,1.8,5.5,48.7,62.1,2.0
Poland,POL,2022,44.7,41994.5,1.9,18.4,7.5,7.9,142.7,71.0,5.8,73.4,5.9,1.84,8210250,105.3,2.7,0.5,882,3.2,2.0,4.7,51.7,68.6,4.5
Brazil,BRA,2022,14.0,24620.9,62.3,15.7,7.9,4.7,157.2,61.6,8.6,86.6,19.9,0.85,2981165,137.8,4.3,0.9,751,15.3,1.5,2.0,51.4,23.4,3.5
Mexico,MEX,2022,71.3,20040.7,49.1,1.5,4.1,8.1,206.5,72.8,4.9,53.3,5.8,0.66,9330154,11.4,2.9,1.1,497,10.1,2.0,2.6,54.0,31.5,2.8
China,CHN,2022,71.8,55439.2,35.3,8.9,7.9,7.1,204.6,78.3,7.9,73.6,43.9,1.17,4744738,106.2,5.4,2.5,405,13.4,0.8,6.1,47.0,67.5,3.2
India,IND,2022,27.2,18119.6,7.6,14.2,5.9,2.1,113.0,40.6,8.2,67.8,33.6,1.41,418994,120.6,5.2,3.0,218,7.6,0.3,3.2,53.4,56.0,3.0
Indonesia,IDN,2022,21.9,29227.8,58.1,6.2,5.7,3.0,156.5,87.4,8.2,44.7,12.5,0.17,9791265,3.3,4.1,0.7,314,9.3,1.1,4.3,50.9,28.9,4.4
Saudi Arabia,SAU,2022,60.5,66268.6,45.4,6.7,7.1,4.7,134.9,60.9,7.7,65.1,5.2,0.48,6556312,4.3,5.4,0.6,257,19.2,1.7,4.2,51.9,55.0,4.0
Russia,RUS,2022,136.5,50270.0,2.3,12.5,6.0,3.7,108.9,95.9,7.0,90.8,34.8,0.65,7465307,50.8,1.2,1.3,812,19.7,2.4,5.9,53.1,29.5,2.8
South Africa,ZAF,2022,67.3,23119.8,34.1,9.7,5.5,8.8,288.9,10.2,5.0,49.7,11.9,0.24,8840547,108.5,1.5,1.8,555,2.4,2.2,3.3,46.4,26.8,4.7
Argentina,ARG,2022,66.7,41150.4,22.8,8.2,6.1,4.2,249.4,59.1,8.2,88.1,44.6,1.79,1780517,10.5,2.0,2.4,111,18.7,1.9,2.7,51.2,17.6,3.1
Thailand,THA,2022,78.6,37675.6,13.9,19.1,6.2,8.7,260.1,39.5,8.7,54.2,32.9,1.62,6117386,87.4,2.6,1.7,467,12.9,1.1,4.9,52.6,39.4,4.7
Vietnam,VNM,2022,13.3,35637.3,49.5,18.7,4.3,5.7,123.9,57.6,9.3,65.8,34.5,0.35,4486241,109.3,5.9,1.4,552,18.0,2.5,2.3,46.9,25.2,4.8
Philippines,PHL,2022,108.0,30683.2,4.9,6.2,5.7,7.6,297.6,91.8,9.3,77.2,40.9,1.66,8415360,8.4,4.6,3.2,683,3.5,1.1,4.2,48.5,43.8,4.4
Malaysia,MYS,2022,88.6,29169.6,60.6,8.1,7.7,6.6,182.0,97.1,5.0,90.9,30.6,1.61,3242879,28.4,2.2,1.2,138,0.7,2.3,5.4,50.8,13.0,4.1
Singapore,SGP,2022,27.1,60538.6,9.6,14.3,7.5,7.5,125.6,12.5,5.3,71.4,10.5,0.36,4628606,63.4,1.4,2.3,104,9.5,0.9,2.7,53.7,57.0,2.5
Israel,ISR,2022,40.3,47757.8,25.1,13.3,4.0,6.9,247.8,65.6,9.9,85.2,11.8,1.71,8246797,130.1,5.1,2.7,790,8.8,0.2,2.3,52.7,21.9,3.7
Switzerland,CHE,2022,26.8,26325.3,9.8,4.4,6.1,3.6,96.4,96.8,6.9,56.5,43.3,1.78,8529954,95.1,3.6,0.9,713,16.3,1.0,3.0,52.2,66.9,4.7
Austria,AUT,2022,19.3,6428.8,37.6,19.8,3.3,5.9,170.2,14.7,7.3,87.9,11.3,0.43,1586926,121.5,4.2,3.4,550,12.3,2.4,5.7,54.6,12.7,4.2
Belgium,BEL,2022,38.9,75595.4,28.9,0.6,3.1,3.7,215.3,79.2,6.1,63.4,44.8,0.23,4450101,21.7,5.2,2.1,200,18.5,1.2,2.9,52.6,34.6,3.5
Finland,FIN,2022,142.2,79483.5,38.0,14.9,3.8,8.3,200.1,53.9,4.1,90.0,29.0,1.02,8077435,24.5,4.5,1.6,532,4.9,2.0,5.5,53.3,11.0,3.3
Ireland,IRL,2022,85.7,56159.6,48.1,-0.5,3.2,2.8,244.5,77.5,8.0,60.5,27.7,0.22,7241470,33.4,3.9,0.6,141,11.4,2.1,5.2,45.7,63.9,2.0
Czech Republic,CZE,2022,38.1,4004.5,44.2,12.7,5.6,3.4,117.8,36.1,6.7,49.7,23.4,1.85,7995902,124.2,2.1,1.2,537,19.6,0.2,2.8,49.3,60.4,4.6
Greece,GRC,2022,71.1,45001.8,18.3,19.8,6.2,4.3,292.2,52.8,9.0,50.2,35.3,1.05,9169719,113.1,4.9,1.5,825,18.4,0.2,5.3,51.7,62.6,2.6
Portugal,PRT,2022,42.6,71610.9,54.1,3.5,5.3,6.9,106.2,31.5,5.4,76.6,26.8,1.72,165481,66.4,4.3,2.4,548,14.9,2.2,4.0,54.2,64.7,2.9
Hungary,HUN,2022,36.8,68150.9,34.0,17.7,6.4,5.0,180.1,95.7,5.7,87.5,35.1,1.21,7517972,19.1,2.2,2.8,218,9.2,2.2,5.1,50.6,37.8,3.9
Romania,ROU,2022,20.0,54612.8,59.4,7.7,3.4,6.5,193.0,99.6,8.5,91.0,23.6,0.19,5652349,66.8,3.7,1.1,494,15.6,1.9,5.0,50.5,61.6,2.7
New Zealand,NZL,2022,145.3,71522.6,32.6,5.6,6.0,4.1,290.2,42.6,9.4,49.7,48.0,0.22,7286068,25.4,4.4,3.0,229,4.6,2.2,3.7,45.9,47.9,2.9
Chile,CHL,2022,124.2,69300.1,22.6,7.2,3.7,7.1,121.4,19.3,4.1,40.2,48.9,1.05,6527882,44.3,3.5,0.5,240,14.7,1.9,4.8,48.6,45.7,2.1
Colombia,COL,2022,47.1,59940.6,55.3,11.0,5.8,4.3,219.6,79.6,9.2,55.9,13.4,1.06,2919317,61.3,2.5,0.7,153,4.1,0.6,3.2,45.9,34.4,2.7
Egypt,EGY,2022,24.6,64068.4,59.9,6.2,7.1,5.0,132.8,52.5,7.5,40.7,26.9,1.31,7169051,149.6,4.7,3.4,667,15.1,1.7,6.1,45.7,49.9,3.7
United Arab Emirates,ARE,2022,27.1,36903.8,52.7,9.8,7.3,2.0,102.1,87.2,5.9,83.7,43.1,1.98,5867733,98.4,2.6,3.4,383,5.5,2.0,6.1,45.4,37.8,2.5
Qatar,QAT,2022,10.0,51480.7,66.6,2.1,4.9,3.7,218.5,77.6,4.6,45.2,39.2,0.93,7292356,110.0,5.7,0.7,653,9.7,1.7,5.6,49.9,56.9,3.8
Nigeria,NGA,2022,31.5,18977.9,33.3,18.9,4.7,4.2,274.8,99.3,7.0,55.8,12.3,1.24,8865547,29.4,4.6,1.5,278,4.4,2.0,2.7,45.8,68.1,3.9
Ukraine,UKR,2022,25.9,70266.8,22.4,8.3,2.7,3.7,112.6,34.8,5.5,46.4,7.4,0.23,4731255,117.2,5.0,2.5,705,8.6,2.4,5.8,45.5,58.1,4.9
Peru,PER,2022,28.4,33961.6,20.0,8.6,6.0,3.2,222.8,71.3,7.3,61.1,11.6,0.36,9804071,95.2,1.1,3.4,541,12.6,2.5,3.3,49.9,13.2,2.1
